"tgl","temp.mei","rh.mei","temp.vai","rh.vai"
2020-11-01 00:00:00,26.83,84.7,29.15,95.51
2020-11-01 00:00:35,25.55,85.36,29.37,92.29
2020-11-01 00:01:10,25.05,84.75,27.29,91.84
2020-11-01 00:01:45,24.73,85.85,30.24,94.11
2020-11-01 00:02:20,25.39,86.71,27.1,93.41
2020-11-01 00:02:55,24.87,86.55,27.16,93.76
2020-11-01 00:03:30,25.62,85.52,27.29,95.65
2020-11-01 00:04:05,26.29,84.63,29.32,95.02
2020-11-01 00:04:41,25.6,86.45,27.17,95.46
2020-11-01 00:05:16,26.11,85.45,30.45,92.36
2020-11-01 00:05:51,26.3,86.57,28.26,95.67
2020-11-01 00:06:26,25.21,84.28,27.07,94.34
2020-11-01 00:07:01,25.98,85.15,27.12,95.04
2020-11-01 00:07:36,26.87,84.77,28.32,91.87
2020-11-01 00:08:11,26.22,85.94,29.47,94.71
2020-11-01 00:08:47,24.68,85.61,29.37,92.47
2020-11-01 00:09:22,26.58,86.29,27.14,95.04
2020-11-01 00:09:57,24.98,86.76,29.76,93.43
2020-11-01 00:10:32,26.4,86.76,27.06,93.45
2020-11-01 00:11:07,25.5,84.94,29.79,94.06
2020-11-01 00:11:42,24.73,85.87,29.41,92.66
2020-11-01 00:12:17,26.76,84.68,30.37,94.81
2020-11-01 00:12:52,25.41,84.77,30.32,94.41
2020-11-01 00:13:28,26.86,84.61,28.64,91.7
2020-11-01 00:14:03,24.72,85.08,30.35,94.69
2020-11-01 00:14:38,24.65,86.27,27.09,95.51
2020-11-01 00:15:13,25.55,84.84,27.28,91.91
2020-11-01 00:15:48,24.64,85.54,28.82,92.43
2020-11-01 00:16:23,26.65,85.73,29.5,92.57
2020-11-01 00:16:58,25.91,84.96,29.29,95.04
2020-11-01 00:17:34,24.78,85.99,29.25,95.2
2020-11-01 00:18:09,26.83,84.59,28.82,95.76
2020-11-01 00:18:44,26.16,84.75,27.96,91.84
2020-11-01 00:19:19,25.68,85.71,29.54,92.54
2020-11-01 00:19:54,25.62,85.12,28.81,92.12
2020-11-01 00:20:29,25.2,86.71,30.15,93.38
2020-11-01 00:21:04,25.67,85.61,29.58,92.47
2020-11-01 00:21:39,25.07,86.62,30.07,93.29
2020-11-01 00:22:15,25.63,85.12,29.8,94.06
2020-11-01 00:22:50,25.89,84.61,29.72,94.48
2020-11-01 00:23:25,26.08,85.5,28.75,92.4
2020-11-01 00:24:00,26.19,85.5,28.86,92.4
2020-11-01 00:24:35,26.74,85.71,30.56,92.54
2020-11-01 00:25:10,25.59,84.89,29.23,91.91
2020-11-01 00:25:45,24.72,86.17,27.09,94.13
2020-11-01 00:26:21,25.97,85.05,28.84,93.85
2020-11-01 00:26:56,24.88,86.71,29.82,93.38
2020-11-01 00:27:31,26.59,84.7,29.95,93.59
2020-11-01 00:28:06,24.75,84.77,30.54,94.83
2020-11-01 00:28:41,24.72,85.57,27.07,92.45
2020-11-01 00:29:16,26.28,84.49,27.43,91.59
2020-11-01 00:29:51,26.31,86.5,28.84,94.95
2020-11-01 00:30:27,25.61,85.82,27.12,92.64
2020-11-01 00:31:02,26.17,85.71,27.61,95.81
2020-11-01 00:31:37,26.11,85.78,30.44,92.59
2020-11-01 00:32:12,26.27,86.36,28.8,94.41
2020-11-01 00:32:47,24.7,85.78,29.48,92.59
2020-11-01 00:33:22,24.82,84.8,28.78,94.25
2020-11-01 00:33:57,24.68,85.59,30.41,92.45
2020-11-01 00:34:32,25.25,86.94,30.66,95.34
2020-11-01 00:35:08,26.55,84.75,30.65,95.2
2020-11-01 00:35:43,24.69,85.36,27.18,93.62
2020-11-01 00:36:18,25.87,84.68,30.44,94.64
2020-11-01 00:36:53,26.7,84.45,29.98,94.04
2020-11-01 00:37:28,24.92,84.49,30.64,95.37
2020-11-01 00:38:03,25.87,84.45,28.8,91.52
2020-11-01 00:38:38,24.7,85.12,28.91,94.85
2020-11-01 00:39:14,24.75,85.82,30.56,92.61
2020-11-01 00:39:49,25.31,84.52,28.75,91.59
2020-11-01 00:40:24,26.82,84.54,27.02,95.9
2020-11-01 00:40:59,25.68,86.08,29.54,92.82
2020-11-01 00:41:34,25.53,85.22,30.4,94.71
2020-11-01 00:42:09,26.62,86.1,29.56,92.85
2020-11-01 00:42:44,25.19,84.4,27.4,91.52
2020-11-01 00:43:19,26.35,86.76,27.35,95.55
2020-11-01 00:43:55,26.5,84.8,27.55,91.89
2020-11-01 00:44:30,24.92,86.43,30.72,95.41
2020-11-01 00:45:05,26.74,84.54,28.13,91.63
2020-11-01 00:45:40,25,86.83,28.23,95.72
2020-11-01 00:46:15,26.88,85.19,28.47,95.83
2020-11-01 00:46:50,25.35,84.7,27.72,91.8
2020-11-01 00:47:25,24.59,85.78,29.34,95.09
2020-11-01 00:48:01,25.82,84.61,27.6,91.7
2020-11-01 00:48:36,25.98,84.7,27.16,94.64
2020-11-01 00:49:11,25.17,84.45,27.13,94.01
2020-11-01 00:49:46,25.1,84.7,27.48,91.8
2020-11-01 00:50:21,26.6,85.87,30.45,92.66
2020-11-01 00:50:56,25.02,86.83,30.15,93.48
2020-11-01 00:51:31,25.55,85.78,29.58,92.59
2020-11-01 00:52:06,26.36,84.7,28.44,91.8
2020-11-01 00:52:42,26.29,86.36,27.07,93.06
2020-11-01 00:53:17,24.67,85.12,29.81,93.99
2020-11-01 00:53:52,26.89,84.82,27.61,95.53
2020-11-01 00:54:27,24.77,86.45,27.18,94.67
2020-11-01 00:55:02,24.75,86.59,29.69,93.27
2020-11-01 00:55:37,24.67,85.68,29.31,95.51
2020-11-01 00:56:12,26.27,86.45,30.11,93.13
2020-11-01 00:56:48,26.22,84.77,27.68,91.87
2020-11-01 00:57:23,26.13,84.7,28.21,91.8
2020-11-01 00:57:58,25.25,86.94,28.74,94.2
2020-11-01 00:58:33,26.77,85.31,28.75,94.62
2020-11-01 00:59:08,25.29,86.55,30.16,93.22
2020-11-01 00:59:43,24.89,86.29,27.34,95.62
2020-11-01 01:00:18,26.02,85.38,27.17,94.67
2020-11-01 01:00:54,26.64,84.61,29.5,94.74
2020-11-01 01:01:29,24.73,86.13,30.16,92.85
2020-11-01 01:02:04,25.42,84.63,28.77,93.59
2020-11-01 01:02:39,26.74,84.56,27.18,94.29
2020-11-01 01:03:14,26.56,86.01,27.03,95.23
2020-11-01 01:03:49,24.59,85.33,29.41,92.26
2020-11-01 01:04:24,25.64,84.89,29.27,91.91
2020-11-01 01:04:59,26.01,84.49,28.87,93.87
2020-11-01 01:05:35,26.61,84.77,27.09,95.46
2020-11-01 01:06:10,26.28,86.5,30.24,93.17
2020-11-01 01:06:45,25.54,84.91,29.21,91.94
2020-11-01 01:07:20,24.75,86.24,29.6,92.94
2020-11-01 01:07:55,24.77,85.75,30.49,92.57
2020-11-01 01:08:30,26.63,85.68,28.75,94.43
2020-11-01 01:09:05,25.48,85.05,28.74,95.83
2020-11-01 01:09:41,26.41,86.66,27.19,94.6
2020-11-01 01:10:16,24.8,84.91,28.77,91.94
2020-11-01 01:10:51,26.79,84.73,28.81,91.82
2020-11-01 01:11:26,24.75,86.03,30.22,92.78
2020-11-01 01:12:01,25.17,84.47,29.21,95.46
2020-11-01 01:12:36,25.62,85.87,29.98,93.97
2020-11-01 01:13:11,25.42,84.8,28.88,93.76
2020-11-01 01:13:46,26.71,84.75,30.5,94.81
2020-11-01 01:14:22,25.55,86.1,28.74,95.44
2020-11-01 01:14:57,26.27,85.94,28.71,95.48
2020-11-01 01:15:32,26.42,86.9,27.18,94.85
2020-11-01 01:16:07,26.28,86.22,27.15,92.94
2020-11-01 01:16:42,26.04,84.66,28.04,91.75
2020-11-01 01:17:17,26.01,85.19,29.37,92.17
2020-11-01 01:17:52,25.6,85.31,27.08,94.46
2020-11-01 01:18:28,24.92,86.69,29.88,93.36
2020-11-01 01:19:03,24.63,85.05,29.2,92.05
2020-11-01 01:19:38,24.81,84.8,27.08,94.97
2020-11-01 01:20:13,25.19,86.73,30.05,93.41
2020-11-01 01:20:48,25.45,86.48,29.82,93.15
2020-11-01 01:21:23,25.56,86.52,29.53,94.71
2020-11-01 01:21:58,25.47,84.87,29.22,95.13
2020-11-01 01:22:33,26.06,84.68,28.16,91.77
2020-11-01 01:23:09,25.65,85.29,27.1,94.36
2020-11-01 01:23:44,26.13,85.92,27.08,95.04
2020-11-01 01:24:19,25.67,85.82,28.2,95.69
2020-11-01 01:24:54,24.66,86.27,28.74,92.96
2020-11-01 01:25:29,25.65,85.4,30.59,94.97
2020-11-01 01:26:04,25.05,84.59,30.45,95.23
2020-11-01 01:26:39,25.94,84.66,27.94,91.75
2020-11-01 01:27:15,26.72,85.78,29.63,94.5
2020-11-01 01:27:50,24.67,86.34,29.74,93.01
2020-11-01 01:28:25,24.83,86.29,27.14,92.99
2020-11-01 01:29:00,25.1,84.61,27.14,91.7
2020-11-01 01:29:35,25.06,86.5,29.16,95.53
2020-11-01 01:30:10,26.38,84.68,30.53,95.25
2020-11-01 01:30:45,25.54,85.22,27.14,92.19
2020-11-01 01:31:21,26.57,86.2,29.63,92.92
2020-11-01 01:31:56,25.57,85.54,28.88,93.94
2020-11-01 01:32:31,26.52,86.76,30.36,94.83
2020-11-01 01:33:06,27.03,84.61,28.81,91.7
2020-11-01 01:33:41,25.23,84.31,27.12,93.78
2020-11-01 01:34:16,25.27,86.57,27.32,95.53
2020-11-01 01:34:51,24.9,86.52,28.76,95.11
2020-11-01 01:35:26,26.91,84.52,28.17,91.61
